img_fp,l0,l1,l2,l3
"('intermediary/split_data/test/TCGA-D1-A177-01Z-00-DX1.C2BC53F3-F7D7-4ED0-93BB-303A4D8AE602.png',)",1.4626824,1.3680845,2.2906213,2.2040462
"('intermediary/split_data/test/TCGA-G9-6499-01Z-00-DX1.4d60a36f-fccc-44b5-b8df-360fbc704c23.png',)",1.7725943,2.4746575,1.4800067,1.8248849
"('intermediary/split_data/test/TCGA-49-4506-01Z-00-DX2.81e180ae-bd9f-49cc-9a0f-297800cc7280.png',)",1.717675,2.3424928,1.0013013,1.8071218
"('intermediary/split_data/test/TCGA-BP-5184-01Z-00-DX1.b682d92b-fc7b-4a8c-a0f3-d1e3a309f136.png',)",0.85397696,2.3060446,0.6910476,1.5875611
"('intermediary/split_data/test/TCGA-Y6-A9XI-01Z-00-DX1.BCEC7405-546D-4CF3-90F3-9620C0A74B63.png',)",0.6606485,0.7940624,0.8834271,1.9389188
"('intermediary/split_data/test/TCGA-HC-7821-01Z-00-DX1.85c082ca-1159-4cd1-b003-fed32f2ddf9e.png',)",0.63800365,0.63802826,0.69498175,1.6095964
"('intermediary/split_data/test/TCGA-HT-7608-01Z-00-DX4.0033D152-AAC0-4BCA-8E34-07F4385F92D1.png',)",1.2938778,0.89663553,2.47911,1.6445893
"('intermediary/split_data/test/TCGA-BP-4999-01Z-00-DX1.e78eaded-4e89-4bcf-b3fe-3e7b8db7f2c2.png',)",0.85831404,1.8802414,0.64766634,1.505371
"('intermediary/split_data/test/TCGA-95-7947-01Z-00-DX1.44291078-2D8E-4E79-8FAB-439E52BAAD60.png',)",0.81180954,1.6012036,0.6785051,1.3048062
"('intermediary/split_data/test/TCGA-EL-A3GX-01Z-00-DX1.AB2B045E-E8EC-46AF-B606-5C47A37B1938.png',)",0.63800365,0.8132646,0.64228296,1.9310383
"('intermediary/split_data/test/TCGA-HT-7691-01Z-00-DX1.A018D8AE-2488-471B-8B37-D84B93B9AEB7.png',)",0.6656063,0.962243,0.6530266,0.7907282
"('intermediary/split_data/test/TCGA-R8-A6MO-01Z-00-DX3.24C7DE73-6010-41D4-9F9F-09C36B3236B3.png',)",0.9448557,2.3989167,0.8029926,1.5088756
"('intermediary/split_data/test/TCGA-S9-A6WE-01Z-00-DX1.F4D6E41C-5B13-498E-853A-902D41DF804C.png',)",1.7639017,1.2616334,1.3157612,0.91364294
"('intermediary/split_data/test/TCGA-R6-A6XG-01Z-00-DX1.88BC85D3-7EF7-4D0A-88DC-1A837084D715.png',)",0.9560291,0.8754407,0.8254042,0.85203695
"('intermediary/split_data/test/TCGA-HC-8261-01Z-00-DX1.231568ea-f873-4f62-85d2-f93ab91a8c0f.png',)",1.8580068,1.1895524,1.5138965,0.96734124
"('intermediary/split_data/test/TCGA-B0-5812-01Z-00-DX1.668e75ce-2d02-47aa-9ce4-9931dd53e9a4.png',)",1.2309742,1.0082881,2.6226215,1.9093617
"('intermediary/split_data/test/TCGA-86-8359-01Z-00-DX1.11B8FDC3-4B84-4A22-B89D-46EA76345F13.png',)",1.0512018,1.0473105,2.319823,2.2252138
"('intermediary/split_data/test/TCGA-EJ-7327-01Z-00-DX1.9a14d0f4-ea3c-4b70-9eec-ab399fb72565.png',)",0.9335896,1.0322615,2.268956,2.3139997
"('intermediary/split_data/test/TCGA-78-8640-01Z-00-DX1.6F929E56-34D5-45A6-8A9E-ACB4B88A68B1.png',)",0.77990144,1.1882962,1.3447345,2.135611
