id	filename	md5	size	state
1d712dd9-30be-4128-8e58-299e39630daf	TCGA-HT-7608-01Z-00-DX4.0033D152-AAC0-4BCA-8E34-07F4385F92D1.svs	e1f1fb83d48c443597982c34dea6ccb4	1824865845	released
0412c626-81f9-4164-b808-3fb84e7c3b66	TCGA-VV-A86M-01Z-00-DX1.3D542AC0-4000-40AA-A574-791B8772F956.svs	c8a6f611a3a373b30a5da090874663b0	750500307	released
e0c7ebde-6e7b-4f2f-befd-fb93ee99297b	TCGA-DU-A5TP-01Z-00-DX1.93C7592D-91A7-4A89-96A8-190654A36BA9.svs	ceeb06583fbbab13942fd6f8a5e8b6de	109102637	released
f3d8b6c5-a5d8-487a-951e-9d146344ea03	TCGA-S9-A6WH-01Z-00-DX1.DDBE3C83-36D7-4969-BFFE-7FAA8014633B.svs	f88e581f8a373bb6204fa4fd684904c8	884959087	released
2411ec4f-2195-490d-b05f-fde1282c25bc	TCGA-CS-5390-01Z-00-DX1.3C241E8A-D2E7-4C8D-ABDF-60391D8A32AD.svs	587fa004d8216b2df0a35764dcfb6ed1	197703791	released
b4b28393-4ca8-429e-9622-f418b7b37aa5	TCGA-DU-5872-01Z-00-DX1.98ee5af3-3732-43a5-b628-93fd9ff9092b.svs	4ee097264c7b7b60c6371c8a781301ee	159775507	released
5da5795f-934c-408d-a79d-f4509e7d3cfd	TCGA-QH-A65Z-01Z-00-DX1.33A27DCF-3B96-468B-AF2C-6F394EFA44EF.svs	ad8904e680fcf2a86ca8de5ae0f72c9c	1584306557	released
58c177b6-8a09-478e-982e-3c1ba1b111e8	TCGA-TM-A84J-01Z-00-DX1.35ED7469-4A53-4432-945F-69D714D7607F.svs	9d333fe4c6a08f781895f6c48c81996b	1587227761	released
4e187358-4892-405a-80eb-364ed6dcccc7	TCGA-FG-A4MU-01Z-00-DX1.F557204B-3E0E-4961-ACCA-0567C66E318F.svs	514c0b6772678d1be71e6098ac1b4ad4	1310021699	released
b4ecee29-a31f-4b2d-9939-b0f556488db7	TCGA-HT-7468-01Z-00-DX1.9141B9CC-C84D-4226-984C-1DD9E98E4A8D.svs	4c4cf02fbc773e2945794a1ad556e5dc	61525825	released
b4219953-aef5-4e6b-85bf-70f42ad1d038	TCGA-HT-7686-01Z-00-DX1.BBFB6833-AB78-4B58-B996-20A0D57C7713.svs	24f61997957b50f0b57550fe11d10040	365692109	released
2816a033-2c2c-4e4e-9f07-8621302d362e	TCGA-E1-A7YI-01Z-00-DX1.BC6CCA84-ED9A-4945-9B66-8F2884E0712B.svs	f63abb4ef2224c1472281a7348ca76d2	1384768362	released
9b143300-1a32-4a46-bc5c-d8b8fddfb2e1	TCGA-W9-A837-01Z-00-DX1.F0E23873-46D1-460F-AA53-930D7934E687.svs	97704398a2d9bf98aba9e40b7e702eea	1098916351	released
bcd1fa45-a8e3-4dad-8c0c-aa37872b3977	TCGA-FG-7636-01Z-00-DX1.BD12D54F-E266-4950-AB43-912C714E338C.svs	f41bddadb8d78b390d13b3adf11407d5	715574521	released
78722808-614e-4292-897e-48fae5476497	TCGA-HT-7602-01Z-00-DX2.7DA69565-ACB1-4EB5-BE8E-D653B4BDDAB7.svs	fcf0df73e1cd4139e97eedae713d5a0c	1297628045	released
2f1e7619-e07b-4168-ae5e-5043963f8d32	TCGA-TQ-A7RH-01Z-00-DX1.9B62CBC8-597B-4DDC-8129-37D8977D2171.svs	9946a4f18d2c5864f5dfd515ccba812e	1760887559	released
10cd26a4-771f-472a-abab-9361a5d13b76	TCGA-R8-A6MK-01Z-00-DX6.695AD627-C157-4804-AE53-5E0E6AAD07CC.svs	cf1096b0baf17611b520ea19e5c7cddc	2195867270	released
44f755d7-2236-4794-8a6d-8ac15275e785	TCGA-TM-A84S-01Z-00-DX1.5ED4FD31-AE61-4E45-B202-420B37C847D9.svs	fdfde5db59f91e8c15e54cb9cc5235ba	1171515085	released
f78032ba-bf8b-4572-bff5-6e47a559e058	TCGA-VM-A8CA-01Z-00-DX6.07221643-D7F3-4E38-9A63-C7B3B46E570B.svs	1d71435eaddce09b649af6bb1d5d247d	1844985905	released
4d2ffdf3-ffe1-4fdf-9a02-0a4ef630ad92	TCGA-DU-7006-01Z-00-DX1.F91BD282-C5E5-441D-806E-354A1F78B04F.svs	cb18efe918174ad28eb5ddc59c6b1a3b	145665584	released
e9e944ef-e1b5-40d8-be4c-a3b52a8f4a40	TCGA-DB-A4X9-01Z-00-DX2.1C5A66A2-48A5-41B3-98C7-6B668438C4C1.svs	41723191e9d3b8dd2b91da191dc0c5fd	1435253688	released
d43c3919-31d6-4416-b01b-bbb582aae353	TCGA-HT-7691-01Z-00-DX2.E8D201A1-C6C4-4F8C-9D5A-6DF1F8D566EB.svs	4094989c4773a8baa9198b39f3f662f4	635026563	released
c74bfb86-4de5-45f0-b5fc-6412d63c23ed	TCGA-DU-8165-01Z-00-DX1.8d633ff1-6aed-41e5-8518-8856dbe4a718.svs	7bbb38ab28b3dff7ef6cee0d2027a4d9	103229617	released
178a02cc-7d59-4bf0-bb4c-efb14d0eb812	TCGA-HT-7482-01Z-00-DX5.07FE2627-7614-4877-858A-1665A8CA20C9.svs	a686bca7fe43d4ad551445e6a142230c	115145415	released
c3d68bb7-90b4-4313-a8c3-d23287c75aa8	TCGA-DB-A64S-01Z-00-DX1.E44CE325-25A2-4669-8843-E7462547C004.svs	a0442f89775ff41efd0624db9edc6be4	2888760390	released
03559182-08cd-4788-af81-c5a48dc9fa82	TCGA-CZ-4853-01Z-00-DX1.1e328b6f-eabf-48c6-aa23-dafaff4b88cc.svs	973db9ce33d17a3aa059b07e40b64771	600366706	released
